Applicant_ID,default_status
Apcnt_1000032,0.370509335
Apcnt_1000048,0.4229399425
Apcnt_1000052,0.46996689750000004
Apcnt_1000076,0.788883655
Apcnt_1000080,0.15472347
Apcnt_1000084,0.4493209825
Apcnt_1000104,0.39946014750000003
Apcnt_1000116,0.6709497725
Apcnt_1000128,0.48298765499999996
Apcnt_1000156,0.3382024425
Apcnt_1000192,0.138608445
Apcnt_1000208,0.0354685575
Apcnt_1000264,0.6390630574999999
Apcnt_1000288,0.05932542
Apcnt_1000292,0.529598925
Apcnt_1000328,0.669884685
Apcnt_1000336,0.3401936475
Apcnt_1000356,0.07310157249999999
Apcnt_1000368,0.18109175
Apcnt_1000372,0.7543204399999999
Apcnt_1000392,0.09416994
Apcnt_1000396,0.1119332675
Apcnt_1000400,0.1219358975
Apcnt_1000416,0.3139166875
Apcnt_1000428,0.021196582500000002
Apcnt_1000440,0.0618049625
Apcnt_1000456,0.5548138725
Apcnt_1000472,0.06646163
Apcnt_1000488,0.185815895
Apcnt_1000492,0.1020232425
Apcnt_1000504,0.75230694
Apcnt_1000516,0.3446460425
Apcnt_1000532,0.09843163499999999
Apcnt_1000552,0.26065973
Apcnt_1000564,0.428489985
Apcnt_1000576,0.7823492350000001
Apcnt_1000596,0.095239905
Apcnt_1000620,0.1347895375
Apcnt_1000624,0.03968481
Apcnt_1000636,0.005632995
Apcnt_1000648,0.041369539999999996
Apcnt_1000668,0.049089150000000005
Apcnt_1000680,0.15961445
Apcnt_1000696,0.0656598025
Apcnt_1000704,0.5037363625
Apcnt_1000724,0.052313525
Apcnt_1000740,0.31311672
Apcnt_1000744,0.01825278
Apcnt_1000756,0.046794564999999996
Apcnt_1000768,0.0062828525
Apcnt_1000784,0.0045515975
Apcnt_1000796,0.005371805
Apcnt_1000808,0.003981015
Apcnt_1000816,0.054826599999999996
Apcnt_1000820,0.006080185
Apcnt_1000824,0.1270807075
Apcnt_1000856,0.6376604925
Apcnt_1000872,0.599186825
Apcnt_1000880,0.072935375
Apcnt_1000904,0.30551732
Apcnt_1000912,0.7262389275000001
Apcnt_1000920,0.7830404775
Apcnt_1000952,0.08635354
Apcnt_1000960,0.1625701875
Apcnt_1000964,0.23379121750000004
Apcnt_1000968,0.01080704
Apcnt_1000976,0.7436890600000001
Apcnt_1000984,0.5524868975
Apcnt_1000992,0.251023185
Apcnt_1000996,0.5878867475
